video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
16-20-44.mp4_fixed.mp4,277860,277860,1638,0,Bactrocera dorsalis,enter,1,126,1095.24,604.81,0.9243
16-20-44.mp4_fixed.mp4,277861,277861,1639,0,Bactrocera dorsalis,enter,1,127,1294.65,627.65,0.9194
16-20-44.mp4_fixed.mp4,277895,277895,1639,0,Bactrocera dorsalis,exit,-1,126,1334.93,744.86,0.9434
16-20-44.mp4_fixed.mp4,277902,277902,1639,0,Bactrocera dorsalis,enter,1,127,1284.56,831.95,0.9268
16-20-44.mp4_fixed.mp4,277908,277908,1639,0,Bactrocera dorsalis,exit,-1,126,1231.33,877.5,0.938
16-20-44.mp4_fixed.mp4,277929,277929,1638,0,Bactrocera dorsalis,exit,-1,125,1103.7,851.17,0.9414
16-20-44.mp4_fixed.mp4,278053,278053,1646,0,Bactrocera dorsalis,enter,1,126,1037.77,743.78,0.9033
16-20-44.mp4_fixed.mp4,278658,278658,1653,0,Bactrocera dorsalis,enter,1,127,1035.02,713.46,0.8833
16-20-44.mp4_fixed.mp4,282975,282975,1656,0,Bactrocera dorsalis,enter,1,128,1036.27,747.99,0.9185
16-20-44.mp4_fixed.mp4,285771,285771,1666,0,Bactrocera dorsalis,enter,1,129,1111.94,594.0,0.9531
16-20-44.mp4_fixed.mp4,285803,285803,1665,0,Bactrocera dorsalis,enter,1,130,1122.45,588.81,0.9331
16-20-44.mp4_fixed.mp4,285846,285846,1666,0,Bactrocera dorsalis,exit,-1,129,1218.88,874.72,0.9448
16-20-44.mp4_fixed.mp4,285854,285854,1666,0,Bactrocera dorsalis,enter,1,130,1141.35,860.99,0.9556
