video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,68503,68503,6591,1149,0,Bactrocera correcta,0,0,exit,-1,5,1185.54,893.64,0.873,0,0,recovered_exit,43,893,0.9137250483707615,0,1
08-41-24.mp4,68538,68538,6608,1153,0,Bactrocera correcta,0,0,enter,1,6,1298.1,658.55,0.8232,0,0,tracked_enter,56,,,,
08-41-24.mp4,68693,68693,6608,1153,0,Bactrocera correcta,0,0,exit,-1,5,1312.62,616.5,0.8716,0,0,tracked_exit,56,1153,,,
08-41-24.mp4,71069,71069,7033,1203,0,Bactrocera correcta,0,0,enter,1,6,1132.69,599.67,0.8613,0,0,tracked_enter,57,,,,
08-41-24.mp4,72899,72899,7306,1254,1,Bactrocera dorsalis,1,1,enter,1,9,1136.23,847.66,0.8032,0,0,tracked_enter,58,,,,
08-41-24.mp4,72930,72930,7306,1254,1,Bactrocera dorsalis,1,1,exit,-1,8,1178.34,890.61,0.8345,0,0,tracked_exit,58,1254,,,
08-41-24.mp4,73222,73222,7306,1254,1,Bactrocera dorsalis,0,1,enter,1,9,1299.19,664.2,0.8398,0,0,tracked_enter,59,,,,
08-41-24.mp4,73263,73263,7315,1255,1,Bactrocera dorsalis,1,1,enter,1,10,1094.62,623.67,0.8799,0,0,tracked_enter,60,,,,
08-41-24.mp4,74502,74502,7315,1255,1,Bactrocera dorsalis,1,1,exit,-1,9,1088.33,584.3,0.8843,0,0,tracked_exit,60,1255,,,
08-41-24.mp4,75846,75846,7511,1307,0,Bactrocera correcta,0,0,enter,1,7,1086.75,631.78,0.9087,0,0,tracked_enter,61,,,,
08-41-24.mp4,76161,76161,7544,1311,1,Bactrocera dorsalis,1,1,enter,1,10,1263.39,831.36,0.8784,1,18,tracked_enter,62,,,,
08-41-24.mp4,78299,78299,7995,1409,0,Bactrocera correcta,0,0,enter,1,8,1306.3,777.91,0.8491,1,9,tracked_enter,63,,,,
08-41-24.mp4,78496,78496,7995,1409,0,Bactrocera correcta,0,0,exit,-1,7,1339.73,798.45,0.8706,1,9,tracked_exit,63,1409,,,
08-41-24.mp4,78888,78888,8107,1134,0,Bactrocera correcta,0,0,enter,1,8,1150.2,668.7,0.5928,1,28,tracked_enter,64,,,,
08-41-24.mp4,79759,79759,8223,1467,1,Bactrocera dorsalis,1,1,exit,-1,9,1019.59,745.05,0.793,0,0,recovered_exit,59,1254,0.9550289134056169,1,1
08-41-24.mp4,81744,81744,8189,1443,1,Bactrocera dorsalis,1,1,enter,1,10,1316.54,740.87,0.7891,1,22,tracked_enter,65,,,,
08-41-24.mp4,81766,81766,8189,1443,1,Bactrocera dorsalis,1,1,exit,-1,9,1341.91,773.11,0.8232,1,22,tracked_exit,65,1443,,,
08-41-24.mp4,81782,81782,8425,1514,1,Bactrocera dorsalis,1,1,enter,1,10,1317.41,711.91,0.7461,0,0,tracked_enter,66,,,,
08-41-24.mp4,81788,81788,8566,1546,1,Bactrocera dorsalis,1,1,enter,1,11,1313.71,740.41,0.4727,0,0,tracked_enter,67,,,,
08-41-24.mp4,82366,82366,8471,1524,0,Bactrocera correcta,0,0,exit,-1,7,1109.43,873.9,0.8623,0,0,recovered_exit,61,1307,0.9308193000277847,0,1
08-41-24.mp4,82510,82510,8557,1543,1,Bactrocera dorsalis,1,1,enter,1,12,1050.76,731.09,0.8662,0,0,tracked_enter,68,,,,
08-41-24.mp4,83872,83872,8189,1443,1,Bactrocera dorsalis,1,1,enter,1,13,1174.18,858.31,0.7788,1,22,tracked_enter,69,,,,
08-41-24.mp4,84264,84264,8189,1443,1,Bactrocera dorsalis,1,1,exit,-1,12,1045.93,816.25,0.8418,1,22,tracked_exit,69,1443,,,
08-41-24.mp4,84603,84603,8844,1596,1,Bactrocera dorsalis,1,1,enter,1,13,1289.41,807.79,0.8662,0,0,tracked_enter,70,,,,
08-41-24.mp4,85356,85356,8896,1609,1,Bactrocera dorsalis,1,1,exit,-1,12,1029.18,665.48,0.897,0,0,recovered_exit,54,1135,0.9502810025938233,1,1
08-41-24.mp4,85888,85888,8896,1609,1,Bactrocera dorsalis,1,1,enter,1,13,1056.34,684.87,0.8652,0,0,tracked_enter,71,,,,
08-41-24.mp4,86018,86018,8896,1609,1,Bactrocera dorsalis,1,1,exit,-1,12,1270.06,865.78,0.8911,0,0,tracked_exit,71,1609,,,
08-41-24.mp4,86214,86214,8990,1624,0,Bactrocera correcta,0,0,enter,1,8,1310.22,678.76,0.8716,0,0,tracked_enter,72,,,,
08-41-24.mp4,86254,86254,8990,1624,0,Bactrocera correcta,0,0,exit,-1,7,1331.29,649.34,0.8623,0,0,tracked_exit,72,1624,,,
08-41-24.mp4,86442,86442,9007,1629,1,Bactrocera dorsalis,1,1,enter,1,13,1278.14,627.3,0.793,0,0,tracked_enter,73,,,,
08-41-24.mp4,86986,86986,8113,1437,1,Bactrocera dorsalis,1,1,enter,1,14,1318.16,738.21,0.8208,1,1,tracked_enter,74,,,,
08-41-24.mp4,87155,87155,8896,1609,1,Bactrocera dorsalis,1,1,enter,1,15,1315.12,740.51,0.8057,0,0,tracked_enter,75,,,,
08-41-24.mp4,87404,87404,8896,1609,1,Bactrocera dorsalis,1,1,exit,-1,14,1308.91,603.87,0.8774,0,0,tracked_exit,75,1609,,,
08-41-24.mp4,88029,88029,9183,1660,0,Bactrocera correcta,0,0,exit,-1,6,1051.4,623.63,0.8789,1,25,recovered_exit,64,1134,0.8739503712727363,0,1
08-41-24.mp4,88131,88131,9183,1660,0,Bactrocera correcta,0,0,enter,1,7,1078.5,641.48,0.875,1,25,tracked_enter,76,,,,
08-41-24.mp4,88170,88170,9292,1679,1,Bactrocera dorsalis,1,1,enter,1,15,1277.61,820.29,0.8696,0,0,tracked_enter,77,,,,
08-41-24.mp4,88289,88289,9292,1679,1,Bactrocera dorsalis,1,1,exit,-1,14,1231.86,565.36,0.8809,0,0,tracked_exit,77,1679,,,
08-41-24.mp4,88306,88306,9398,1693,1,Bactrocera dorsalis,1,1,enter,1,15,1111.45,696.15,0.7056,0,0,tracked_enter,78,,,,
08-41-24.mp4,88350,88350,9529,1704,0,Bactrocera correcta,0,0,enter,1,8,1316.93,732.17,0.8589,0,0,tracked_enter,79,,,,
08-41-24.mp4,89197,89197,9806,1739,0,Bactrocera correcta,0,0,enter,1,9,1063.42,664.97,0.8267,0,0,tracked_enter,80,,,,
08-41-24.mp4,90324,90324,10118,1777,0,Bactrocera correcta,1,0,exit,-1,8,1063.93,837.6,0.8198,0,0,recovered_exit,76,1660,0.9325178768259432,0,1
08-41-24.mp4,90353,90353,10118,1777,0,Bactrocera correcta,0,0,enter,1,9,1078.25,807.17,0.8105,0,0,tracked_enter,81,,,,
08-41-24.mp4,90962,90962,10325,1795,0,Bactrocera correcta,0,0,enter,1,10,1150.26,853.86,0.855,0,0,tracked_enter,82,,,,
08-41-24.mp4,91964,91964,10406,1809,1,Bactrocera dorsalis,1,1,enter,1,16,1229.55,599.56,0.8687,0,0,tracked_enter,83,,,,
08-41-24.mp4,92478,92478,9444,1701,0,Bactrocera correcta,0,0,enter,1,11,1062.17,782.09,0.814,0,0,tracked_enter,84,,,,
08-41-24.mp4,92694,92694,10406,1809,1,Bactrocera dorsalis,1,1,exit,-1,15,1311.91,839.89,0.9014,0,0,tracked_exit,83,1809,,,
08-41-24.mp4,92821,92821,10406,1809,1,Bactrocera dorsalis,1,1,enter,1,16,1316.13,734.64,0.9111,0,0,tracked_enter,85,,,,
08-41-24.mp4,92882,92882,10406,1809,1,Bactrocera dorsalis,1,1,exit,-1,15,1301.91,843.29,0.8579,0,0,tracked_exit,85,1809,,,
08-41-24.mp4,94703,94703,10687,1850,1,Bactrocera dorsalis,1,1,enter,1,16,1256.46,613.84,0.8301,0,0,tracked_enter,86,,,,
08-41-24.mp4,94781,94781,10687,1850,1,Bactrocera dorsalis,1,1,exit,-1,15,1015.09,777.13,0.8916,0,0,tracked_exit,86,1850,,,
08-41-24.mp4,95173,95173,10781,1869,0,Bactrocera correcta,0,0,enter,1,12,1311.71,684.96,0.853,0,0,tracked_enter,87,,,,
08-41-24.mp4,97695,97695,11311,1947,0,Bactrocera correcta,0,0,enter,1,13,1109.16,673.2,0.7266,1,23,tracked_enter,88,,,,
08-41-24.mp4,98283,98283,11447,1976,0,Bactrocera correcta,0,0,exit,-1,12,1029.27,781.71,0.8115,0,0,recovered_exit,36,780,0.8552063946078092,0,1
